lad19_area_name,lad19_area_code,area_population
Aberdeen City,S12000033,250000
Aberdeenshire,S12000034,272728
Adur,E07000223,64517
Allerdale,E07000026,100000
Amber Valley,E07000032,128379
Angus,S12000041,117648
Antrim and Newtownabbey,N09000001,143565
Ards and North Down,N09000011,166667
Argyll and Bute,S12000035,85898
"Armagh City, Banbridge and Craigavon",N09000002,217392
Arun,E07000224,166667
Ashfield,E07000170,130435
Ashford,E07000105,130435
Aylesbury Vale,E07000004,203822
Babergh,E07000200,92593
Barking and Dagenham,E09000002,213115
Barnet,E09000003,396277
Barnsley,E08000016,250000
Barrow-in-Furness,E07000027,67115
Basildon,E07000066,189190
Basingstoke and Deane,E07000084,176871
Bassetlaw,E07000171,117488
Bath and North East Somerset,E06000022,193549
Bedford,E06000055,173914
Belfast,N09000003,344538
Bexley,E09000004,248388
Birmingham,E08000025,1142160
Blaby,E07000129,101550
Blackburn with Darwen,E06000008,150000
Blackpool,E06000009,140351
Blaenau Gwent,W06000019,69871
Bolsover,E07000033,83334
Bolton,E08000001,300000
Boston,E07000136,71429
"Bournemouth, Christchurch and Poole",E06000058,395499
Bracknell Forest,E06000036,125000
Bradford,E08000032,548388
Braintree,E07000067,153847
Breckland,E07000143,142858
Brent,E09000005,333334
Brentwood,E07000068,77032
Bridgend,W06000013,147158
Brighton and Hove,E06000043,291667
"Bristol, City of",E06000023,500000
Broadland,E07000144,131148
Bromley,E09000006,333334
Bromsgrove,E07000234,100000
Broxbourne,E07000095,97561
Broxtowe,E07000172,114051
Burnley,E07000117,90910
Bury,E08000002,191067
Caerphilly,W06000018,181819
Calderdale,E08000033,214286
Cambridge,E07000008,125000
Camden,E09000007,270463
Cannock Chase,E07000192,101124
Canterbury,E07000106,166667
Cardiff,W06000015,367442
Carlisle,E07000028,108844
Carmarthenshire,W06000010,190477
Castle Point,E07000069,90910
Causeway Coast and Glens,N09000004,145455
Central Bedfordshire,E06000056,289037
Ceredigion,W06000008,72785
Charnwood,E07000130,200000
Chelmsford,E07000070,178478
Cheltenham,E07000078,117648
Cherwell,E07000177,150794
Cheshire East,E06000049,384956
Cheshire West and Chester,E06000050,352942
Chesterfield,E07000034,105264
Chichester,E07000225,121360
Chiltern,E07000005,100000
Chorley,E07000118,118280
City of Edinburgh,S12000036,527473
Clackmannanshire,S12000005,51725
